'EPIC N.MF.MV Log File

'Date,N.MF.MV
08/06/2023 12:40:51.319,0.0
08/06/2023 12:40:53.318,0.0
08/06/2023 12:40:54.315,-1.00E-04
08/06/2023 12:40:55.318,-1.00E-04
08/06/2023 12:40:57.318,1.00E-04
08/06/2023 12:40:59.340,1.00E-04
08/06/2023 12:41:01.379,1.00E-04
08/06/2023 12:41:03.377,1.00E-04
08/06/2023 12:41:07.395,0.0
08/06/2023 12:41:08.398,0.0
08/06/2023 12:41:10.397,2.00E-04
08/06/2023 12:41:11.399,2.00E-04
08/06/2023 12:41:20.397,1.00E-04
08/06/2023 12:41:21.398,1.00E-04
08/06/2023 12:41:23.431,2.00E-04
08/06/2023 12:41:24.438,2.00E-04
08/06/2023 12:41:30.496,0.0
08/06/2023 12:41:31.505,0.0
08/06/2023 12:41:32.527,0.0
08/06/2023 12:41:33.538,7.00E-04
08/06/2023 12:41:34.535,7.00E-04
08/06/2023 12:41:37.547,2.00E-04
08/06/2023 12:41:38.559,2.00E-04
08/06/2023 12:41:44.599,0.0
08/06/2023 12:41:46.598,0.0
08/06/2023 12:41:47.596,-2.00E-04
08/06/2023 12:41:48.597,-2.00E-04
08/06/2023 12:41:51.598,1.00E-04
08/06/2023 12:41:53.598,1.00E-04
08/06/2023 12:42:01.598,1.00E-04
08/06/2023 12:42:03.597,1.00E-04
08/06/2023 12:42:05.596,4.00E-04
08/06/2023 12:42:06.598,4.00E-04
08/06/2023 12:42:08.598,1.00E-04
08/06/2023 12:42:09.595,1.00E-04
08/06/2023 12:42:14.619,0.0
08/06/2023 12:42:16.620,0.0
08/06/2023 12:42:17.642,2.00E-04
08/06/2023 12:42:18.659,2.00E-04
08/06/2023 12:42:21.698,0.0
08/06/2023 12:42:22.699,0.0
08/06/2023 12:42:24.698,-4.00E-04
08/06/2023 12:42:25.695,-4.00E-04
08/06/2023 12:42:30.735,3.00E-04
08/06/2023 12:42:32.759,3.00E-04
08/06/2023 12:42:34.758,4.00E-04
08/06/2023 12:42:35.759,4.00E-04
