'EPIC GC Atmion.PG.MV Log File

'Date,GC Atmion.PG.MV
08/06/2023 00:05:23.184,1.30E-08
08/06/2023 00:05:24.202,1.40E-08
08/06/2023 00:05:25.223,1.40E-08
08/06/2023 00:05:26.248,1.40E-08
08/06/2023 00:05:27.269,1.40E-08
08/06/2023 00:05:28.281,1.40E-08
08/06/2023 00:05:29.294,1.40E-08
08/06/2023 00:05:30.305,1.40E-08
08/06/2023 00:05:31.320,1.40E-08
08/06/2023 00:05:32.333,1.40E-08
08/06/2023 00:05:33.356,1.40E-08
08/06/2023 00:05:34.388,1.40E-08
08/06/2023 00:05:35.401,1.40E-08
08/06/2023 00:05:36.416,1.50E-08
08/06/2023 00:05:37.435,1.50E-08
08/06/2023 00:05:38.447,1.50E-08
08/06/2023 00:05:39.459,1.50E-08
08/06/2023 00:05:40.468,1.50E-08
08/06/2023 00:05:41.481,1.50E-08
08/06/2023 00:05:42.522,1.50E-08
08/06/2023 00:05:43.531,1.50E-08
08/06/2023 00:05:44.555,1.50E-08
08/06/2023 00:05:45.565,1.50E-08
08/06/2023 00:05:46.591,1.50E-08
08/06/2023 00:05:47.613,1.60E-08
08/06/2023 00:05:48.623,1.60E-08
08/06/2023 00:05:49.642,1.60E-08
08/06/2023 00:05:50.652,1.60E-08
08/06/2023 00:05:51.671,1.60E-08
08/06/2023 00:05:52.680,1.60E-08
08/06/2023 00:05:53.689,1.60E-08
08/06/2023 00:05:54.701,1.60E-08
08/06/2023 00:05:55.726,1.60E-08
08/06/2023 00:05:56.752,1.60E-08
08/06/2023 00:05:57.768,1.70E-08
08/06/2023 00:05:58.778,1.70E-08
08/06/2023 00:05:59.801,1.70E-08
08/06/2023 00:06:00.817,1.70E-08
08/06/2023 00:06:01.829,1.70E-08
08/06/2023 00:06:02.838,1.70E-08
08/06/2023 00:06:03.879,1.70E-08
08/06/2023 00:06:04.900,1.70E-08
08/06/2023 00:06:05.922,1.70E-08
08/06/2023 00:06:06.947,1.70E-08
08/06/2023 00:06:07.968,1.80E-08
08/06/2023 00:06:08.982,1.80E-08
08/06/2023 00:06:09.997,1.80E-08
08/06/2023 00:06:11.021,1.80E-08
08/06/2023 00:06:12.034,1.80E-08
08/06/2023 00:06:13.057,1.80E-08
08/06/2023 00:06:14.067,1.80E-08
08/06/2023 00:06:15.085,1.80E-08
08/06/2023 00:06:16.105,1.90E-08
08/06/2023 00:06:17.116,1.90E-08
08/06/2023 00:06:18.138,1.90E-08
08/06/2023 00:06:19.158,1.90E-08
08/06/2023 00:06:20.178,1.90E-08
08/06/2023 00:06:21.190,1.90E-08
08/06/2023 00:06:22.220,1.90E-08
08/06/2023 00:06:23.230,2.00E-08
08/06/2023 00:06:24.253,2.00E-08
08/06/2023 00:06:25.281,2.00E-08
08/06/2023 00:06:26.300,2.00E-08
08/06/2023 00:06:27.310,2.00E-08
08/06/2023 00:06:28.335,2.00E-08
08/06/2023 00:06:29.362,2.00E-08
08/06/2023 00:06:30.387,2.00E-08
08/06/2023 00:06:31.412,2.00E-08
08/06/2023 00:06:32.435,2.00E-08
08/06/2023 00:06:33.456,2.10E-08
08/06/2023 00:06:34.478,2.10E-08
08/06/2023 00:06:35.489,2.10E-08
08/06/2023 00:06:36.500,2.10E-08
08/06/2023 00:06:37.514,2.10E-08
08/06/2023 00:06:38.525,2.10E-08
08/06/2023 00:06:39.536,2.20E-08
08/06/2023 00:06:40.561,2.20E-08
08/06/2023 00:06:41.582,2.20E-08
08/06/2023 00:06:42.602,2.20E-08
08/06/2023 00:06:43.615,2.20E-08
08/06/2023 00:06:44.635,2.20E-08
08/06/2023 00:06:45.644,2.20E-08
08/06/2023 00:06:46.655,2.30E-08
08/06/2023 00:06:47.670,2.30E-08
08/06/2023 00:06:48.687,2.30E-08
08/06/2023 00:06:49.696,2.30E-08
08/06/2023 00:06:50.725,2.30E-08
08/06/2023 00:06:51.748,2.40E-08
08/06/2023 00:06:52.768,2.40E-08
08/06/2023 00:06:53.780,2.40E-08
08/06/2023 00:06:54.801,2.40E-08
08/06/2023 00:06:55.817,2.40E-08
08/06/2023 00:06:56.829,2.40E-08
08/06/2023 00:06:57.839,2.40E-08
08/06/2023 00:06:58.855,2.50E-08
08/06/2023 00:06:59.864,2.50E-08
08/06/2023 00:07:00.874,2.50E-08
08/06/2023 00:07:01.890,2.50E-08
08/06/2023 00:07:02.915,2.50E-08
08/06/2023 00:07:03.938,2.60E-08
08/06/2023 00:07:04.950,2.60E-08
08/06/2023 00:07:05.962,2.60E-08
08/06/2023 00:07:06.983,2.60E-08
08/06/2023 00:07:07.993,2.60E-08
08/06/2023 00:07:09.015,2.60E-08
08/06/2023 00:07:10.028,2.60E-08
08/06/2023 00:07:11.036,2.60E-08
08/06/2023 00:07:12.047,2.60E-08
08/06/2023 00:07:13.066,2.70E-08
08/06/2023 00:07:14.099,2.70E-08
08/06/2023 00:07:15.118,2.70E-08
08/06/2023 00:07:16.149,2.70E-08
08/06/2023 00:07:17.167,2.70E-08
08/06/2023 00:07:18.181,2.80E-08
08/06/2023 00:07:19.206,2.80E-08
08/06/2023 00:07:20.229,2.80E-08
08/06/2023 00:07:21.258,2.80E-08
08/06/2023 00:07:22.277,2.90E-08
08/06/2023 00:07:23.300,2.90E-08
08/06/2023 00:07:24.324,2.90E-08
08/06/2023 00:07:25.341,2.90E-08
08/06/2023 00:07:26.361,3.00E-08
08/06/2023 00:07:27.371,3.00E-08
08/06/2023 00:07:28.380,3.00E-08
08/06/2023 00:07:29.403,3.00E-08
08/06/2023 00:07:30.412,3.00E-08
08/06/2023 00:07:31.426,3.10E-08
08/06/2023 00:07:32.442,3.10E-08
08/06/2023 00:07:33.463,3.10E-08
08/06/2023 00:07:34.473,3.10E-08
08/06/2023 00:07:35.483,3.10E-08
08/06/2023 00:07:36.492,3.20E-08
08/06/2023 00:07:37.516,3.20E-08
08/06/2023 00:07:38.537,3.20E-08
08/06/2023 00:07:39.560,3.20E-08
08/06/2023 00:07:40.574,3.20E-08
08/06/2023 00:07:41.587,3.20E-08
08/06/2023 00:07:42.613,3.20E-08
08/06/2023 00:07:43.625,3.20E-08
08/06/2023 00:07:44.648,3.20E-08
08/06/2023 00:07:45.673,3.20E-08
08/06/2023 00:07:46.684,3.20E-08
08/06/2023 00:07:47.719,3.40E-08
08/06/2023 00:07:48.730,3.40E-08
08/06/2023 00:07:49.740,3.50E-08
08/06/2023 00:07:50.752,3.50E-08
08/06/2023 00:07:51.764,3.50E-08
08/06/2023 00:07:52.787,3.50E-08
08/06/2023 00:07:53.810,3.50E-08
08/06/2023 00:07:54.831,3.50E-08
08/06/2023 00:07:55.842,3.50E-08
08/06/2023 00:07:56.853,3.50E-08
08/06/2023 00:07:57.873,3.60E-08
08/06/2023 00:07:58.884,3.70E-08
08/06/2023 00:07:59.908,3.70E-08
08/06/2023 00:08:00.920,3.70E-08
08/06/2023 00:08:01.930,3.70E-08
