'EPIC O.MF.MV Log File

'Date,O.MF.MV
08/06/2023 11:33:39.781,4.56E-02
08/06/2023 11:34:33.846,5.12E-02
08/06/2023 11:34:34.841,5.12E-02
08/06/2023 11:42:46.847,4.60E-02
08/06/2023 11:42:47.867,4.60E-02
08/06/2023 11:44:35.907,5.12E-02
08/06/2023 11:44:36.926,5.12E-02
08/06/2023 11:45:19.569,4.60E-02
08/06/2023 11:45:20.587,4.60E-02
08/06/2023 11:45:46.086,5.16E-02
08/06/2023 11:45:47.107,5.16E-02
08/06/2023 12:11:11.185,4.64E-02
08/06/2023 12:11:12.204,4.64E-02
08/06/2023 12:11:32.484,5.28E-02
08/06/2023 12:11:33.504,5.28E-02
08/06/2023 12:13:20.363,4.76E-02
08/06/2023 12:13:21.357,4.76E-02
08/06/2023 12:14:24.404,5.28E-02
08/06/2023 12:14:25.424,5.28E-02
08/06/2023 12:15:12.343,4.72E-02
08/06/2023 12:15:13.362,4.72E-02
08/06/2023 12:15:38.507,5.76E-02
08/06/2023 12:15:39.524,5.76E-02
08/06/2023 12:15:41.564,0.7496
08/06/2023 12:15:42.583,0.7496
08/06/2023 12:15:46.664,0.7660
08/06/2023 12:15:47.687,0.7660
08/06/2023 12:15:50.743,0.7820
08/06/2023 12:15:51.768,0.7820
08/06/2023 12:15:53.804,0.7976
08/06/2023 12:15:54.824,0.7976
08/06/2023 12:15:56.865,0.8148
08/06/2023 12:15:57.889,0.8148
08/06/2023 12:15:59.928,0.8300
08/06/2023 12:16:00.944,0.8300
08/06/2023 12:16:02.984,0.8480
08/06/2023 12:16:04.005,0.8480
08/06/2023 12:16:07.064,0.8648
08/06/2023 12:16:08.084,0.8648
08/06/2023 12:16:10.126,0.8816
08/06/2023 12:16:11.143,0.8816
08/06/2023 12:16:13.184,0.9000
08/06/2023 12:16:14.204,0.9000
08/06/2023 12:16:17.265,0.9168
08/06/2023 12:16:18.284,0.9168
08/06/2023 12:16:19.303,0.9304
08/06/2023 12:16:20.324,0.9304
08/06/2023 12:16:23.357,0.9472
08/06/2023 12:16:24.362,0.9472
08/06/2023 12:16:26.362,0.9628
08/06/2023 12:16:27.358,0.9628
08/06/2023 12:16:29.358,0.9720
08/06/2023 12:16:30.362,0.9720
08/06/2023 12:16:32.369,0.9804
08/06/2023 12:16:33.384,0.9804
08/06/2023 12:16:35.423,0.9860
08/06/2023 12:16:36.443,0.9860
08/06/2023 12:16:42.565,0.9936
08/06/2023 12:16:43.583,0.9936
08/06/2023 12:17:02.972,0.9988
08/06/2023 12:17:03.983,0.9988
08/06/2023 13:17:04.651,1.001
