'EPIC LL IG.PG.MV Log File

'Date,LL IG.PG.MV
08/06/2023 10:37:28.958,7.30E-09
08/06/2023 10:37:30.958,7.30E-09
08/06/2023 10:37:32.968,7.30E-09
08/06/2023 10:37:34.968,7.30E-09
08/06/2023 10:37:36.968,7.30E-09
08/06/2023 10:37:38.978,7.30E-09
08/06/2023 10:37:40.978,7.30E-09
08/06/2023 10:37:42.988,7.30E-09
08/06/2023 10:37:44.988,7.30E-09
08/06/2023 10:37:46.988,7.30E-09
08/06/2023 10:37:47.998,7.30E-09
08/06/2023 10:37:50.008,7.30E-09
08/06/2023 10:37:52.009,7.30E-09
08/06/2023 10:37:53.018,7.30E-09
08/06/2023 10:37:55.028,7.30E-09
08/06/2023 10:37:57.038,7.30E-09
08/06/2023 10:37:59.054,7.30E-09
08/06/2023 10:38:00.068,7.30E-09
08/06/2023 10:38:01.091,7.30E-09
08/06/2023 10:38:02.108,7.30E-09
08/06/2023 10:38:04.118,7.30E-09
08/06/2023 10:38:06.118,7.30E-09
08/06/2023 10:38:08.118,7.30E-09
08/06/2023 10:38:09.119,7.30E-09
08/06/2023 10:38:10.138,7.30E-09
08/06/2023 10:38:11.148,7.30E-09
08/06/2023 10:38:13.148,7.30E-09
08/06/2023 10:38:15.148,7.30E-09
08/06/2023 10:38:17.148,7.30E-09
08/06/2023 10:38:19.148,7.30E-09
08/06/2023 10:38:21.149,7.30E-09
08/06/2023 10:38:22.168,7.30E-09
08/06/2023 10:38:24.168,7.30E-09
08/06/2023 10:38:26.168,7.30E-09
08/06/2023 10:38:28.168,7.30E-09
08/06/2023 10:38:30.169,7.30E-09
08/06/2023 10:38:31.192,7.30E-09
08/06/2023 10:38:32.208,7.30E-09
08/06/2023 10:38:34.208,7.30E-09
08/06/2023 10:38:36.209,7.30E-09
08/06/2023 10:38:38.209,7.30E-09
08/06/2023 10:38:40.208,7.30E-09
08/06/2023 10:38:42.208,7.30E-09
08/06/2023 10:38:44.208,7.30E-09
08/06/2023 10:38:46.209,7.30E-09
08/06/2023 10:38:47.218,7.30E-09
08/06/2023 10:38:49.218,7.30E-09
08/06/2023 10:38:51.218,7.30E-09
08/06/2023 10:38:53.218,7.30E-09
08/06/2023 10:38:54.223,7.30E-09
08/06/2023 10:38:55.238,7.30E-09
08/06/2023 10:38:57.238,7.30E-09
08/06/2023 10:38:59.238,7.30E-09
08/06/2023 10:39:01.238,7.30E-09
08/06/2023 10:39:03.238,7.30E-09
08/06/2023 10:39:05.238,7.30E-09
08/06/2023 10:39:06.240,7.30E-09
08/06/2023 10:39:07.260,7.30E-09
08/06/2023 10:39:08.278,7.30E-09
08/06/2023 10:39:10.278,7.30E-09
08/06/2023 10:39:11.301,7.30E-09
08/06/2023 10:39:12.319,7.30E-09
08/06/2023 10:39:13.338,7.30E-09
08/06/2023 10:39:15.338,7.30E-09
08/06/2023 10:39:17.348,7.30E-09
08/06/2023 10:39:19.347,7.30E-09
08/06/2023 10:39:20.349,7.30E-09
08/06/2023 10:39:22.348,7.30E-09
08/06/2023 10:39:24.348,7.30E-09
08/06/2023 10:39:26.349,7.30E-09
08/06/2023 10:39:28.348,7.30E-09
08/06/2023 10:39:29.354,7.30E-09
08/06/2023 10:39:30.370,7.30E-09
08/06/2023 10:39:31.388,7.30E-09
08/06/2023 10:39:33.388,7.30E-09
08/06/2023 10:39:35.388,7.30E-09
08/06/2023 10:39:36.398,7.30E-09
08/06/2023 10:39:38.398,7.30E-09
08/06/2023 10:39:40.398,7.30E-09
08/06/2023 10:39:42.399,7.30E-09
08/06/2023 10:39:44.398,7.30E-09
08/06/2023 10:39:46.397,7.30E-09
08/06/2023 10:39:48.397,7.30E-09
08/06/2023 10:39:50.399,7.30E-09
08/06/2023 10:39:51.419,7.30E-09
08/06/2023 10:39:52.446,7.30E-09
08/06/2023 10:39:53.449,7.30E-09
08/06/2023 10:39:54.468,7.30E-09
08/06/2023 10:39:56.468,7.30E-09
08/06/2023 10:39:58.468,7.30E-09
08/06/2023 10:40:00.467,7.30E-09
08/06/2023 10:40:02.467,7.30E-09
08/06/2023 10:40:04.467,7.30E-09
08/06/2023 10:40:05.470,7.30E-09
08/06/2023 10:40:06.478,7.30E-09
08/06/2023 10:40:08.478,7.30E-09
08/06/2023 10:40:10.477,7.30E-09
08/06/2023 10:40:12.478,7.30E-09
08/06/2023 10:40:14.477,7.30E-09
08/06/2023 10:40:16.477,7.30E-09
08/06/2023 10:40:17.488,7.30E-09
08/06/2023 10:40:19.489,7.30E-09
08/06/2023 10:40:21.488,7.30E-09
08/06/2023 10:40:23.489,7.30E-09
08/06/2023 10:40:25.489,7.30E-09
08/06/2023 10:40:27.489,7.30E-09
08/06/2023 10:40:29.488,7.30E-09
08/06/2023 10:40:31.488,7.30E-09
08/06/2023 10:40:32.498,7.30E-09
08/06/2023 10:40:34.498,7.30E-09
08/06/2023 10:40:35.508,7.30E-09
08/06/2023 10:40:36.533,7.30E-09
08/06/2023 10:40:37.548,7.30E-09
08/06/2023 10:40:38.558,7.30E-09
08/06/2023 10:40:40.559,7.30E-09
08/06/2023 10:40:41.568,7.30E-09
08/06/2023 10:40:42.578,7.30E-09
08/06/2023 10:40:43.598,7.30E-09
08/06/2023 10:40:45.608,7.30E-09
08/06/2023 10:40:47.618,7.30E-09
08/06/2023 10:40:49.628,7.30E-09
08/06/2023 10:40:51.649,7.30E-09
08/06/2023 10:40:52.659,7.30E-09
08/06/2023 10:40:54.658,7.30E-09
08/06/2023 10:40:56.669,7.30E-09
08/06/2023 10:40:57.678,7.30E-09
08/06/2023 10:40:58.688,7.30E-09
08/06/2023 10:41:00.715,7.30E-09
08/06/2023 10:41:01.728,7.30E-09
08/06/2023 10:41:02.738,7.30E-09
08/06/2023 10:41:03.748,7.30E-09
08/06/2023 10:41:05.759,7.30E-09
08/06/2023 10:41:07.760,7.30E-09
08/06/2023 10:41:08.767,7.30E-09
08/06/2023 10:41:10.769,7.30E-09
08/06/2023 10:41:11.779,7.30E-09
08/06/2023 10:41:12.788,7.30E-09
08/06/2023 10:41:13.809,7.30E-09
08/06/2023 10:41:14.819,7.30E-09
08/06/2023 10:41:15.841,7.30E-09
08/06/2023 10:41:16.857,7.30E-09
08/06/2023 10:41:17.859,7.30E-09
08/06/2023 10:41:19.858,7.30E-09
08/06/2023 10:41:21.868,7.30E-09
08/06/2023 10:41:23.878,7.30E-09
08/06/2023 10:41:25.877,7.30E-09
08/06/2023 10:41:27.879,7.30E-09
08/06/2023 10:41:28.898,7.30E-09
08/06/2023 10:41:29.909,7.30E-09
08/06/2023 10:41:30.931,7.30E-09
08/06/2023 10:41:31.948,7.30E-09
08/06/2023 10:41:32.967,7.30E-09
08/06/2023 10:41:33.978,7.30E-09
08/06/2023 10:41:35.978,7.30E-09
08/06/2023 10:41:36.985,7.30E-09
08/06/2023 10:41:37.988,7.30E-09
08/06/2023 10:41:39.998,7.30E-09
08/06/2023 10:41:41.998,7.30E-09
08/06/2023 10:41:43.008,7.30E-09
08/06/2023 10:41:45.006,7.30E-09
08/06/2023 10:41:46.010,7.30E-09
08/06/2023 10:41:47.029,7.30E-09
08/06/2023 10:41:48.038,7.30E-09
08/06/2023 10:41:49.048,7.30E-09
08/06/2023 10:41:51.048,7.30E-09
08/06/2023 10:41:53.048,7.30E-09
08/06/2023 10:41:55.048,7.30E-09
08/06/2023 10:41:57.048,7.30E-09
08/06/2023 10:41:59.048,7.30E-09
08/06/2023 10:42:01.048,7.30E-09
08/06/2023 10:42:03.049,7.30E-09
08/06/2023 10:42:05.048,7.30E-09
08/06/2023 10:42:07.049,7.30E-09
08/06/2023 10:42:09.048,7.30E-09
08/06/2023 10:42:11.048,7.30E-09
08/06/2023 10:42:12.049,7.30E-09
08/06/2023 10:42:14.048,7.30E-09
08/06/2023 10:42:16.048,7.30E-09
08/06/2023 10:42:17.071,7.30E-09
08/06/2023 10:42:18.090,7.30E-09
08/06/2023 10:42:19.108,7.30E-09
08/06/2023 10:42:21.108,7.30E-09
08/06/2023 10:42:22.118,7.30E-09
08/06/2023 10:42:24.118,7.30E-09
08/06/2023 10:42:26.118,7.30E-09
08/06/2023 10:42:28.118,7.30E-09
08/06/2023 10:42:30.118,7.30E-09
08/06/2023 10:42:32.117,7.30E-09
08/06/2023 10:42:34.119,7.30E-09
08/06/2023 10:42:35.138,7.30E-09
08/06/2023 10:42:37.139,7.30E-09
08/06/2023 10:42:38.147,7.30E-09
08/06/2023 10:42:40.148,7.30E-09
08/06/2023 10:42:42.148,7.30E-09
08/06/2023 10:42:43.149,7.30E-09
08/06/2023 10:42:44.157,7.30E-09
08/06/2023 10:42:46.158,7.30E-09
08/06/2023 10:42:48.158,7.30E-09
08/06/2023 10:42:49.159,7.30E-09
08/06/2023 10:42:51.158,7.30E-09
08/06/2023 10:42:53.158,7.30E-09
08/06/2023 10:42:55.158,7.30E-09
08/06/2023 10:42:57.158,7.30E-09
08/06/2023 10:42:59.158,7.30E-09
08/06/2023 10:43:01.158,7.30E-09
08/06/2023 10:43:03.168,7.30E-09
08/06/2023 10:43:05.169,7.30E-09
08/06/2023 10:43:07.178,7.30E-09
08/06/2023 10:43:09.178,7.30E-09
08/06/2023 10:43:10.186,7.30E-09
08/06/2023 10:43:11.191,7.30E-09
08/06/2023 10:43:12.208,7.30E-09
08/06/2023 10:43:13.214,7.30E-09
08/06/2023 10:43:14.228,7.30E-09
08/06/2023 10:43:16.228,7.30E-09
08/06/2023 10:43:18.228,7.30E-09
08/06/2023 10:43:20.238,7.30E-09
08/06/2023 10:43:22.238,7.30E-09
08/06/2023 10:43:24.238,7.30E-09
08/06/2023 10:43:25.239,7.30E-09
08/06/2023 10:43:27.238,7.30E-09
08/06/2023 10:43:29.239,7.30E-09
08/06/2023 10:43:31.254,7.30E-09
08/06/2023 10:43:32.268,7.30E-09
08/06/2023 10:43:34.267,7.30E-09
08/06/2023 10:43:36.269,7.30E-09
08/06/2023 10:43:37.290,7.30E-09
08/06/2023 10:43:38.310,7.30E-09
08/06/2023 10:43:39.329,7.30E-09
08/06/2023 10:43:40.347,7.30E-09
08/06/2023 10:43:41.348,7.30E-09
08/06/2023 10:43:43.347,7.30E-09
08/06/2023 10:43:45.347,7.30E-09
08/06/2023 10:43:47.347,7.30E-09
08/06/2023 10:43:48.348,7.30E-09
08/06/2023 10:43:50.353,7.30E-09
08/06/2023 10:43:51.369,7.30E-09
08/06/2023 10:43:53.368,7.30E-09
08/06/2023 10:43:55.368,7.30E-09
08/06/2023 10:43:56.390,7.30E-09
08/06/2023 10:43:57.410,7.30E-09
08/06/2023 10:43:58.427,7.30E-09
08/06/2023 10:44:00.428,7.30E-09
08/06/2023 10:44:02.428,7.30E-09
08/06/2023 10:44:04.430,7.30E-09
08/06/2023 10:44:05.448,7.30E-09
08/06/2023 10:44:07.448,7.30E-09
08/06/2023 10:44:09.448,7.30E-09
08/06/2023 10:44:11.449,7.30E-09
08/06/2023 10:44:13.448,7.30E-09
08/06/2023 10:44:15.448,7.30E-09
08/06/2023 10:44:17.448,7.30E-09
08/06/2023 10:44:19.447,7.30E-09
08/06/2023 10:44:21.449,7.30E-09
08/06/2023 10:44:22.474,7.30E-09
08/06/2023 10:44:23.491,7.30E-09
08/06/2023 10:44:24.507,7.30E-09
08/06/2023 10:44:26.507,7.30E-09
08/06/2023 10:44:28.507,7.30E-09
08/06/2023 10:44:29.508,7.30E-09
08/06/2023 10:44:31.508,7.30E-09
08/06/2023 10:44:33.507,7.30E-09
08/06/2023 10:44:34.508,7.30E-09
08/06/2023 10:44:36.508,7.30E-09
08/06/2023 10:44:38.508,7.30E-09
08/06/2023 10:44:40.507,7.30E-09
08/06/2023 10:44:42.508,7.30E-09
08/06/2023 10:44:44.508,7.30E-09
08/06/2023 10:44:46.508,7.30E-09
08/06/2023 10:44:48.508,7.30E-09
08/06/2023 10:44:50.508,7.30E-09
08/06/2023 10:44:52.524,7.30E-09
08/06/2023 10:44:53.539,7.30E-09
08/06/2023 10:44:55.538,7.30E-09
08/06/2023 10:44:57.545,7.30E-09
08/06/2023 10:44:58.557,7.30E-09
08/06/2023 10:44:59.568,7.30E-09
08/06/2023 10:45:01.568,7.30E-09
08/06/2023 10:45:03.567,7.30E-09
08/06/2023 10:45:05.567,7.30E-09
08/06/2023 10:45:07.568,7.30E-09
08/06/2023 10:45:08.573,7.30E-09
08/06/2023 10:45:09.590,7.30E-09
08/06/2023 10:45:10.608,7.30E-09
08/06/2023 10:45:12.618,7.30E-09
08/06/2023 10:45:13.628,7.30E-09
08/06/2023 10:45:15.634,7.30E-09
08/06/2023 10:45:16.648,7.30E-09
08/06/2023 10:45:17.649,7.30E-09
08/06/2023 10:45:18.668,7.30E-09
08/06/2023 10:45:20.678,7.30E-09
08/06/2023 10:45:22.678,7.30E-09
08/06/2023 10:45:24.678,7.30E-09
08/06/2023 10:45:26.678,7.30E-09
08/06/2023 10:45:28.678,7.30E-09
08/06/2023 10:45:30.677,7.30E-09
08/06/2023 10:45:32.678,7.30E-09
08/06/2023 10:45:34.688,7.30E-09
08/06/2023 10:45:36.688,7.30E-09
08/06/2023 10:45:38.688,7.30E-09
08/06/2023 10:45:40.698,7.30E-09
08/06/2023 10:45:42.699,7.30E-09
08/06/2023 10:45:44.698,7.30E-09
08/06/2023 10:45:46.698,7.30E-09
08/06/2023 10:45:48.698,7.30E-09
08/06/2023 10:45:50.698,7.30E-09
08/06/2023 10:45:51.709,7.30E-09
08/06/2023 10:45:52.727,7.30E-09
08/06/2023 10:45:54.728,7.30E-09
08/06/2023 10:45:56.728,7.30E-09
08/06/2023 10:45:58.729,7.30E-09
08/06/2023 10:45:59.751,7.30E-09
08/06/2023 10:46:00.769,7.30E-09
08/06/2023 10:46:01.788,7.30E-09
08/06/2023 10:46:03.787,7.30E-09
08/06/2023 10:46:04.798,7.30E-09
08/06/2023 10:46:06.803,7.30E-09
08/06/2023 10:46:07.818,7.30E-09
08/06/2023 10:46:09.834,7.30E-09
08/06/2023 10:46:10.847,7.30E-09
08/06/2023 10:46:12.847,7.30E-09
08/06/2023 10:46:13.848,7.30E-09
08/06/2023 10:46:15.847,7.30E-09
08/06/2023 10:46:17.848,7.30E-09
08/06/2023 10:46:19.848,7.30E-09
08/06/2023 10:46:21.848,7.30E-09
08/06/2023 10:46:23.848,7.30E-09
08/06/2023 10:46:25.847,7.30E-09
08/06/2023 10:46:26.848,7.30E-09
08/06/2023 10:46:28.849,7.30E-09
08/06/2023 10:46:29.867,7.30E-09
08/06/2023 10:46:30.890,7.30E-09
