'EPIC O.Forward.MV Log File

'Date,O.Forward.MV
08/06/2023 12:41:03.378,307.5
08/06/2023 12:41:05.378,306.9
08/06/2023 12:41:08.399,305.6
08/06/2023 12:41:09.395,306.2
08/06/2023 12:41:13.398,306.9
08/06/2023 12:41:14.395,306.2
08/06/2023 12:41:15.399,307.5
08/06/2023 12:41:16.395,306.9
08/06/2023 12:41:19.399,306.2
08/06/2023 12:41:20.397,306.2
08/06/2023 12:41:21.399,307.5
08/06/2023 12:41:22.395,307.5
08/06/2023 12:41:23.432,306.2
08/06/2023 12:41:24.439,307.5
08/06/2023 12:41:25.441,307.5
08/06/2023 12:41:27.478,305.6
08/06/2023 12:41:28.480,306.9
08/06/2023 12:41:29.499,306.9
08/06/2023 12:41:34.536,305.0
08/06/2023 12:41:35.540,305.0
08/06/2023 12:41:38.560,306.9
08/06/2023 12:41:39.584,306.9
08/06/2023 12:41:46.599,305.6
08/06/2023 12:41:48.598,306.9
08/06/2023 12:41:49.598,306.2
08/06/2023 12:41:56.596,305.6
08/06/2023 12:41:57.599,305.6
08/06/2023 12:42:02.595,306.9
08/06/2023 12:42:03.598,306.2
08/06/2023 12:42:07.595,305.0
08/06/2023 12:42:08.599,305.6
08/06/2023 12:42:10.599,306.2
08/06/2023 12:42:11.601,305.0
08/06/2023 12:42:12.619,305.0
08/06/2023 12:42:15.615,307.5
08/06/2023 12:42:16.623,305.0
08/06/2023 12:42:17.643,307.5
08/06/2023 12:42:18.659,305.0
08/06/2023 12:42:19.661,306.2
08/06/2023 12:42:20.680,307.5
08/06/2023 12:42:21.699,306.9
08/06/2023 12:42:23.695,306.2
08/06/2023 12:42:24.699,306.2
08/06/2023 12:42:26.700,305.0
08/06/2023 12:42:27.719,306.2
08/06/2023 12:42:28.721,308.1
08/06/2023 12:42:29.739,306.9
08/06/2023 12:42:30.735,306.2
08/06/2023 12:42:31.741,307.5
08/06/2023 12:42:32.760,306.2
08/06/2023 12:42:33.756,305.6
08/06/2023 12:42:35.759,305.0
08/06/2023 12:42:37.760,304.4
08/06/2023 12:42:38.783,309.4
08/06/2023 12:42:39.801,306.2
08/06/2023 12:42:40.828,306.2
08/06/2023 12:42:42.835,304.4
08/06/2023 12:42:43.840,306.9
08/06/2023 12:42:44.860,306.9
08/06/2023 12:42:46.880,309.4
08/06/2023 12:42:47.899,306.9
08/06/2023 12:42:48.897,306.2
08/06/2023 12:43:00.916,304.4
08/06/2023 12:43:01.918,310.0
08/06/2023 12:43:02.920,306.9
08/06/2023 12:43:03.940,303.7
08/06/2023 12:43:04.964,306.9
08/06/2023 12:43:05.985,306.9
08/06/2023 12:43:07.996,305.6
08/06/2023 12:43:08.999,305.6
08/06/2023 12:43:11.000,308.1
08/06/2023 12:43:12.022,307.5
08/06/2023 12:43:16.100,306.9
08/06/2023 12:43:17.122,305.6
08/06/2023 12:43:18.138,306.9
08/06/2023 12:43:20.138,306.9
08/06/2023 12:43:23.135,308.1
