'EPIC MIG.PG.GS Log File

'Date,MIG.PG.GS
08/06/2023 00:08:18.215,19.00
08/06/2023 00:08:19.223,19.00
08/06/2023 00:08:20.232,19.00
08/06/2023 00:08:21.255,19.00
08/06/2023 00:08:22.266,19.00
08/06/2023 00:08:23.287,19.00
08/06/2023 00:08:24.295,19.00
08/06/2023 00:08:25.307,19.00
08/06/2023 00:08:26.330,19.00
08/06/2023 00:08:27.354,19.00
08/06/2023 00:08:28.379,19.00
08/06/2023 00:08:29.393,19.00
08/06/2023 00:08:30.404,19.00
08/06/2023 00:08:31.414,19.00
08/06/2023 00:08:32.439,19.00
08/06/2023 00:08:33.462,19.00
08/06/2023 00:08:34.474,19.00
08/06/2023 00:08:35.492,19.00
08/06/2023 00:08:36.509,19.00
08/06/2023 00:08:37.530,19.00
08/06/2023 00:08:38.542,19.00
08/06/2023 00:08:39.554,19.00
08/06/2023 00:08:40.564,19.00
08/06/2023 00:08:41.583,19.00
08/06/2023 00:08:42.593,19.00
08/06/2023 00:08:43.602,19.00
08/06/2023 00:08:44.623,19.00
08/06/2023 00:08:45.633,19.00
08/06/2023 00:08:46.645,19.00
08/06/2023 00:08:47.670,19.00
08/06/2023 00:08:48.693,19.00
08/06/2023 00:08:49.718,19.00
08/06/2023 00:08:50.738,19.00
08/06/2023 00:08:51.749,19.00
08/06/2023 00:08:52.773,19.00
08/06/2023 00:08:53.783,19.00
08/06/2023 00:08:54.805,19.00
08/06/2023 00:08:55.830,19.00
08/06/2023 00:08:56.853,19.00
08/06/2023 00:08:57.865,19.00
08/06/2023 00:08:58.880,19.00
08/06/2023 00:08:59.901,19.00
08/06/2023 00:09:00.923,19.00
08/06/2023 00:09:01.942,19.00
08/06/2023 00:09:02.955,19.00
08/06/2023 00:09:03.972,19.00
08/06/2023 00:09:04.980,19.00
08/06/2023 00:09:06.003,19.00
08/06/2023 00:09:07.027,19.00
08/06/2023 00:09:08.050,19.00
08/06/2023 00:09:09.068,19.00
08/06/2023 00:09:10.091,19.00
08/06/2023 00:09:11.112,19.00
08/06/2023 00:09:12.123,19.00
08/06/2023 00:09:13.146,19.00
08/06/2023 00:09:14.170,19.00
08/06/2023 00:09:15.179,19.00
08/06/2023 00:09:16.202,19.00
08/06/2023 00:09:17.226,19.00
08/06/2023 00:09:18.237,19.00
08/06/2023 00:09:19.248,19.00
08/06/2023 00:09:20.256,19.00
08/06/2023 00:09:21.271,19.00
08/06/2023 00:09:22.280,19.00
08/06/2023 00:09:23.291,19.00
08/06/2023 00:09:24.314,19.00
08/06/2023 00:09:25.343,19.00
08/06/2023 00:09:26.362,19.00
08/06/2023 00:09:27.390,19.00
08/06/2023 00:09:28.409,19.00
08/06/2023 00:09:29.424,19.00
08/06/2023 00:09:30.443,19.00
08/06/2023 00:09:31.457,19.00
08/06/2023 00:09:32.470,19.00
08/06/2023 00:09:33.481,19.00
08/06/2023 00:09:34.495,19.00
08/06/2023 00:09:35.516,19.00
08/06/2023 00:09:36.537,19.00
08/06/2023 00:09:37.558,19.00
08/06/2023 00:09:38.581,19.00
08/06/2023 00:09:39.605,19.00
08/06/2023 00:09:40.614,19.00
08/06/2023 00:09:41.635,19.00
08/06/2023 00:09:42.645,19.00
08/06/2023 00:09:43.656,19.00
08/06/2023 00:09:44.666,19.00
08/06/2023 00:09:45.689,19.00
08/06/2023 00:09:46.699,19.00
08/06/2023 00:09:47.717,19.00
08/06/2023 00:09:48.740,19.00
08/06/2023 00:09:49.766,19.00
08/06/2023 00:09:50.789,19.00
08/06/2023 00:09:51.812,19.00
08/06/2023 00:09:52.824,19.00
08/06/2023 00:09:53.833,19.00
08/06/2023 00:09:54.847,19.00
08/06/2023 00:09:55.859,19.00
08/06/2023 00:09:56.879,19.00
08/06/2023 00:09:57.910,19.00
08/06/2023 00:09:58.928,19.00
08/06/2023 00:09:59.949,19.00
08/06/2023 00:10:00.959,19.00
08/06/2023 00:10:01.974,19.00
08/06/2023 00:10:02.983,19.00
08/06/2023 00:10:03.995,19.00
08/06/2023 00:10:05.017,19.00
08/06/2023 00:10:06.032,19.00
08/06/2023 00:10:07.053,19.00
08/06/2023 00:10:08.075,19.00
08/06/2023 00:10:09.087,19.00
08/06/2023 00:10:10.116,19.00
08/06/2023 00:10:11.142,19.00
08/06/2023 00:10:12.160,19.00
08/06/2023 00:10:13.169,19.00
08/06/2023 00:10:14.198,19.00
08/06/2023 00:10:15.218,19.00
08/06/2023 00:10:16.235,19.00
08/06/2023 00:10:17.246,19.00
08/06/2023 00:10:18.265,19.00
08/06/2023 00:10:19.278,19.00
08/06/2023 00:10:20.290,19.00
08/06/2023 00:10:21.313,19.00
08/06/2023 00:10:22.321,19.00
08/06/2023 00:10:23.344,19.00
08/06/2023 00:10:24.352,19.00
08/06/2023 00:10:25.361,19.00
08/06/2023 00:10:26.374,19.00
08/06/2023 00:10:27.394,19.00
08/06/2023 00:10:28.420,19.00
08/06/2023 00:10:29.438,19.00
08/06/2023 00:10:30.447,19.00
08/06/2023 00:10:31.468,19.00
08/06/2023 00:10:32.483,19.00
08/06/2023 00:10:33.493,19.00
08/06/2023 00:10:34.501,19.00
08/06/2023 00:10:35.513,19.00
08/06/2023 00:10:36.523,19.00
08/06/2023 00:10:37.535,19.00
08/06/2023 00:10:38.546,19.00
08/06/2023 00:10:39.563,19.00
08/06/2023 00:10:40.582,19.00
08/06/2023 00:10:41.594,19.00
08/06/2023 00:10:42.606,19.00
08/06/2023 00:10:43.621,19.00
08/06/2023 00:10:44.644,19.00
08/06/2023 00:10:45.664,19.00
08/06/2023 00:10:46.681,19.00
08/06/2023 00:10:47.696,19.00
08/06/2023 00:10:48.717,19.00
08/06/2023 00:10:49.727,19.00
08/06/2023 00:10:50.737,19.00
08/06/2023 00:10:51.760,19.00
08/06/2023 00:10:52.778,19.00
08/06/2023 00:10:53.789,19.00
08/06/2023 00:10:54.812,19.00
08/06/2023 00:10:55.834,19.00
08/06/2023 00:10:56.848,19.00
08/06/2023 00:10:57.872,19.00
08/06/2023 00:10:58.879,19.00
08/06/2023 00:10:59.889,19.00
08/06/2023 00:11:00.911,19.00
08/06/2023 00:11:01.921,19.00
08/06/2023 00:11:02.944,19.00
08/06/2023 00:11:03.954,19.00
08/06/2023 00:11:04.966,19.00
08/06/2023 00:11:05.988,19.00
08/06/2023 00:11:07.003,19.00
08/06/2023 00:11:08.028,19.00
08/06/2023 00:11:09.054,19.00
08/06/2023 00:11:10.069,19.00
08/06/2023 00:11:11.079,19.00
08/06/2023 00:11:12.098,19.00
08/06/2023 00:11:13.118,19.00
08/06/2023 00:11:14.131,19.00
08/06/2023 00:11:15.162,19.00
08/06/2023 00:11:16.181,19.00
08/06/2023 00:11:17.193,19.00
08/06/2023 00:11:18.212,19.00
08/06/2023 00:11:19.231,19.00
08/06/2023 00:11:20.243,19.00
08/06/2023 00:11:21.268,19.00
08/06/2023 00:11:22.289,19.00
08/06/2023 00:11:23.301,19.00
08/06/2023 00:11:24.309,19.00
08/06/2023 00:11:25.319,19.00
08/06/2023 00:11:26.331,19.00
08/06/2023 00:11:27.351,19.00
08/06/2023 00:11:28.360,19.00
08/06/2023 00:11:29.368,19.00
08/06/2023 00:11:30.381,19.00
08/06/2023 00:11:31.389,19.00
08/06/2023 00:11:32.400,19.00
08/06/2023 00:11:33.410,19.00
08/06/2023 00:11:34.418,19.00
08/06/2023 00:11:35.430,19.00
08/06/2023 00:11:36.452,19.00
08/06/2023 00:11:37.476,19.00
08/06/2023 00:11:38.486,19.00
08/06/2023 00:11:39.500,19.00
08/06/2023 00:11:40.514,19.00
08/06/2023 00:11:41.537,19.00
08/06/2023 00:11:42.550,19.00
08/06/2023 00:11:43.563,19.00
08/06/2023 00:11:44.575,19.00
08/06/2023 00:11:45.587,19.00
08/06/2023 00:11:46.596,19.00
08/06/2023 00:11:47.611,19.00
08/06/2023 00:11:48.630,19.00
08/06/2023 00:11:49.656,19.00
08/06/2023 00:11:50.670,19.00
08/06/2023 00:11:51.694,19.00
08/06/2023 00:11:52.716,19.00
08/06/2023 00:11:53.731,19.00
08/06/2023 00:11:54.754,19.00
08/06/2023 00:11:55.771,19.00
08/06/2023 00:11:56.795,19.00
08/06/2023 00:11:57.813,19.00
08/06/2023 00:11:58.831,19.00
08/06/2023 00:11:59.854,19.00
08/06/2023 00:12:00.865,19.00
08/06/2023 00:12:01.887,19.00
08/06/2023 00:12:02.896,19.00
08/06/2023 00:12:03.918,19.00
08/06/2023 00:12:04.927,19.00
08/06/2023 00:12:05.959,19.00
08/06/2023 00:12:06.972,19.00
08/06/2023 00:12:07.991,19.00
08/06/2023 00:12:09.009,19.00
08/06/2023 00:12:10.019,19.00
