'EPIC Sub.PID.wOP Log File

'Date,Sub.PID.wOP
08/06/2023 00:09:40.612,11.90
08/06/2023 00:09:41.634,11.90
08/06/2023 00:09:42.644,11.80
08/06/2023 00:09:43.655,11.80
08/06/2023 00:09:44.664,11.90
08/06/2023 00:09:45.687,11.90
08/06/2023 00:09:46.697,11.90
08/06/2023 00:09:47.716,11.90
08/06/2023 00:09:48.737,11.80
08/06/2023 00:09:49.765,11.80
08/06/2023 00:09:50.788,11.90
08/06/2023 00:09:51.810,11.90
08/06/2023 00:09:52.823,11.90
08/06/2023 00:09:53.832,11.90
08/06/2023 00:09:54.845,11.90
08/06/2023 00:09:55.857,11.80
08/06/2023 00:09:56.877,11.90
08/06/2023 00:09:57.909,11.90
08/06/2023 00:09:58.926,11.90
08/06/2023 00:09:59.948,11.90
08/06/2023 00:10:00.958,11.90
08/06/2023 00:10:01.973,11.80
08/06/2023 00:10:02.982,11.90
08/06/2023 00:10:03.994,11.90
08/06/2023 00:10:05.016,11.90
08/06/2023 00:10:06.031,11.90
08/06/2023 00:10:07.051,11.80
08/06/2023 00:10:08.073,11.90
08/06/2023 00:10:09.085,11.90
08/06/2023 00:10:10.114,11.90
08/06/2023 00:10:11.141,11.80
08/06/2023 00:10:12.159,11.90
08/06/2023 00:10:13.167,11.90
08/06/2023 00:10:14.197,11.90
08/06/2023 00:10:15.216,11.90
08/06/2023 00:10:16.234,11.90
08/06/2023 00:10:17.245,11.90
08/06/2023 00:10:18.264,11.90
08/06/2023 00:10:19.275,11.90
08/06/2023 00:10:20.288,11.90
08/06/2023 00:10:21.312,11.80
08/06/2023 00:10:22.319,11.80
08/06/2023 00:10:23.342,11.90
08/06/2023 00:10:24.351,11.90
08/06/2023 00:10:25.360,11.90
08/06/2023 00:10:26.372,11.90
08/06/2023 00:10:27.393,11.80
08/06/2023 00:10:28.419,11.80
08/06/2023 00:10:29.437,11.90
08/06/2023 00:10:30.446,11.90
08/06/2023 00:10:31.467,11.90
08/06/2023 00:10:32.482,11.90
08/06/2023 00:10:33.491,11.90
08/06/2023 00:10:34.500,11.90
08/06/2023 00:10:35.512,11.90
08/06/2023 00:10:36.522,11.90
08/06/2023 00:10:37.534,11.90
08/06/2023 00:10:38.545,11.90
08/06/2023 00:10:39.561,11.90
08/06/2023 00:10:40.581,11.90
08/06/2023 00:10:41.593,11.90
08/06/2023 00:10:42.604,11.90
08/06/2023 00:10:43.620,11.90
08/06/2023 00:10:44.643,11.90
08/06/2023 00:10:45.663,11.90
08/06/2023 00:10:46.679,11.80
08/06/2023 00:10:47.695,11.80
08/06/2023 00:10:48.715,11.80
08/06/2023 00:10:49.726,11.90
08/06/2023 00:10:50.735,11.80
08/06/2023 00:10:51.758,11.90
08/06/2023 00:10:52.777,11.90
08/06/2023 00:10:53.788,11.90
08/06/2023 00:10:54.810,11.80
08/06/2023 00:10:55.832,11.90
08/06/2023 00:10:56.847,11.90
08/06/2023 00:10:57.871,11.90
08/06/2023 00:10:58.878,11.90
08/06/2023 00:10:59.887,11.90
08/06/2023 00:11:00.910,11.80
08/06/2023 00:11:01.919,11.90
08/06/2023 00:11:02.943,11.90
08/06/2023 00:11:03.952,11.90
08/06/2023 00:11:04.965,11.90
08/06/2023 00:11:05.987,11.80
08/06/2023 00:11:07.002,11.90
08/06/2023 00:11:08.027,11.90
08/06/2023 00:11:09.052,11.90
08/06/2023 00:11:10.068,11.80
08/06/2023 00:11:11.078,11.90
08/06/2023 00:11:12.096,11.80
08/06/2023 00:11:13.116,11.80
08/06/2023 00:11:14.130,11.90
08/06/2023 00:11:15.161,11.90
08/06/2023 00:11:16.180,11.80
08/06/2023 00:11:17.192,11.80
08/06/2023 00:11:18.211,11.90
08/06/2023 00:11:19.229,11.90
08/06/2023 00:11:20.242,11.90
08/06/2023 00:11:21.267,11.90
08/06/2023 00:11:22.287,11.80
08/06/2023 00:11:23.300,11.80
08/06/2023 00:11:24.307,11.90
08/06/2023 00:11:25.318,11.90
08/06/2023 00:11:26.329,11.80
08/06/2023 00:11:27.350,11.90
08/06/2023 00:11:28.358,11.80
08/06/2023 00:11:29.367,11.80
08/06/2023 00:11:30.379,11.90
08/06/2023 00:11:31.388,11.90
08/06/2023 00:11:32.399,11.90
08/06/2023 00:11:33.408,11.80
08/06/2023 00:11:34.416,11.90
08/06/2023 00:11:35.429,11.90
08/06/2023 00:11:36.448,11.90
08/06/2023 00:11:37.474,11.90
08/06/2023 00:11:38.485,11.90
08/06/2023 00:11:39.499,11.90
08/06/2023 00:11:40.512,11.80
08/06/2023 00:11:41.535,11.80
08/06/2023 00:11:42.549,11.80
08/06/2023 00:11:43.561,11.80
08/06/2023 00:11:44.574,11.90
08/06/2023 00:11:45.586,11.90
08/06/2023 00:11:46.594,11.90
08/06/2023 00:11:47.610,11.90
08/06/2023 00:11:48.628,11.90
08/06/2023 00:11:49.655,11.90
08/06/2023 00:11:50.669,11.90
08/06/2023 00:11:51.693,11.90
08/06/2023 00:11:52.714,11.80
08/06/2023 00:11:53.729,11.90
08/06/2023 00:11:54.752,11.90
08/06/2023 00:11:55.770,11.80
08/06/2023 00:11:56.793,11.90
08/06/2023 00:11:57.811,11.90
08/06/2023 00:11:58.830,11.90
08/06/2023 00:11:59.853,11.90
08/06/2023 00:12:00.863,11.90
08/06/2023 00:12:01.886,11.90
08/06/2023 00:12:02.894,11.90
08/06/2023 00:12:03.917,11.90
08/06/2023 00:12:04.926,11.80
08/06/2023 00:12:05.958,11.90
08/06/2023 00:12:06.971,11.80
08/06/2023 00:12:07.990,11.80
08/06/2023 00:12:09.007,11.90
08/06/2023 00:12:10.018,11.80
08/06/2023 00:12:11.028,11.80
08/06/2023 00:12:12.038,11.80
08/06/2023 00:12:13.047,11.90
08/06/2023 00:12:14.061,11.90
08/06/2023 00:12:15.072,11.90
08/06/2023 00:12:16.094,11.90
08/06/2023 00:12:17.103,11.90
08/06/2023 00:12:18.123,11.90
08/06/2023 00:12:19.149,11.90
