'EPIC O.Reflect.MV Log File

'Date,O.Reflect.MV
08/06/2023 00:32:16.599,16.25
08/06/2023 00:32:17.606,15.00
08/06/2023 00:32:18.621,15.00
08/06/2023 00:32:30.810,13.75
08/06/2023 00:32:31.818,15.00
08/06/2023 00:32:32.830,14.37
08/06/2023 00:32:39.936,16.25
08/06/2023 00:32:40.956,15.00
08/06/2023 00:32:41.969,15.00
08/06/2023 00:32:53.196,16.25
08/06/2023 00:32:54.219,16.25
08/06/2023 00:32:56.238,15.00
08/06/2023 00:32:57.250,15.00
08/06/2023 00:33:05.378,13.75
08/06/2023 00:33:06.400,15.00
08/06/2023 00:33:07.423,14.37
08/06/2023 00:33:15.551,13.75
08/06/2023 00:33:16.570,15.62
08/06/2023 00:33:17.587,15.62
08/06/2023 00:33:23.715,14.37
08/06/2023 00:33:24.741,15.00
08/06/2023 00:33:26.771,15.62
08/06/2023 00:33:27.796,15.00
08/06/2023 00:33:31.882,14.37
08/06/2023 00:33:32.891,14.37
08/06/2023 00:33:33.915,15.62
08/06/2023 00:33:34.926,15.00
08/06/2023 00:33:36.957,14.37
08/06/2023 00:33:37.982,15.00
08/06/2023 00:33:43.078,15.62
08/06/2023 00:33:44.088,15.62
08/06/2023 00:33:50.204,14.37
08/06/2023 00:33:51.217,14.37
08/06/2023 00:33:52.229,15.62
08/06/2023 00:33:53.250,15.62
08/06/2023 00:33:58.337,14.37
08/06/2023 00:33:59.358,15.62
08/06/2023 00:34:00.380,15.00
08/06/2023 00:34:10.555,14.37
08/06/2023 00:34:11.573,15.00
08/06/2023 00:34:27.859,15.62
08/06/2023 00:34:28.882,14.37
08/06/2023 00:34:29.891,15.00
08/06/2023 00:34:37.988,16.25
08/06/2023 00:34:39.006,16.25
08/06/2023 00:34:44.108,15.00
08/06/2023 00:34:45.117,15.62
08/06/2023 00:34:51.216,13.75
08/06/2023 00:34:52.225,13.75
08/06/2023 00:34:53.247,15.00
08/06/2023 00:34:54.266,13.75
08/06/2023 00:34:55.279,15.00
08/06/2023 00:34:56.299,14.37
08/06/2023 00:35:08.456,16.25
08/06/2023 00:35:09.474,15.00
08/06/2023 00:35:10.485,15.00
08/06/2023 00:35:11.495,16.25
08/06/2023 00:35:12.515,15.62
08/06/2023 00:35:15.551,15.00
08/06/2023 00:35:16.562,15.00
08/06/2023 00:35:32.772,16.25
08/06/2023 00:35:33.783,15.00
08/06/2023 00:35:34.803,15.00
08/06/2023 00:35:46.955,16.25
08/06/2023 00:35:47.969,15.62
08/06/2023 00:35:53.068,15.00
08/06/2023 00:35:54.087,15.00
08/06/2023 00:36:16.496,16.25
08/06/2023 00:36:17.517,15.62
08/06/2023 00:36:19.563,15.00
08/06/2023 00:36:20.582,13.75
08/06/2023 00:36:21.604,14.37
08/06/2023 00:36:23.630,15.00
08/06/2023 00:36:24.652,15.00
08/06/2023 00:36:25.663,16.25
08/06/2023 00:36:26.674,15.00
08/06/2023 00:36:27.686,15.00
08/06/2023 00:36:36.814,16.25
08/06/2023 00:36:37.837,15.62
08/06/2023 00:36:39.862,15.00
08/06/2023 00:36:40.885,15.62
08/06/2023 00:37:15.393,13.75
08/06/2023 00:37:16.406,15.00
08/06/2023 00:37:17.416,14.37
08/06/2023 00:37:46.895,16.25
08/06/2023 00:37:47.909,15.62
08/06/2023 00:37:49.929,15.00
08/06/2023 00:37:50.944,15.62
08/06/2023 00:38:02.135,16.25
08/06/2023 00:38:03.145,15.62
08/06/2023 00:38:13.327,15.00
08/06/2023 00:38:14.352,15.62
08/06/2023 00:38:27.545,13.75
08/06/2023 00:38:28.555,14.37
08/06/2023 00:38:30.600,15.00
08/06/2023 00:38:31.617,15.00
08/06/2023 00:38:32.634,13.75
08/06/2023 00:38:33.650,15.62
08/06/2023 00:38:34.672,15.62
08/06/2023 00:38:35.696,14.37
08/06/2023 00:38:36.730,14.37
08/06/2023 00:38:37.751,15.62
08/06/2023 00:38:38.764,16.25
08/06/2023 00:38:46.915,16.87
08/06/2023 00:38:47.936,16.25
08/06/2023 00:38:50.995,15.62
08/06/2023 00:38:52.012,15.62
08/06/2023 00:38:54.055,14.37
08/06/2023 00:38:55.077,15.62
08/06/2023 00:38:56.107,15.00
08/06/2023 00:39:17.433,14.37
08/06/2023 00:39:18.447,15.00
08/06/2023 00:39:21.511,16.25
08/06/2023 00:39:22.520,15.00
08/06/2023 00:39:23.538,16.25
08/06/2023 00:39:24.552,16.25
08/06/2023 00:39:30.654,15.00
08/06/2023 00:39:31.671,15.00
08/06/2023 00:39:45.905,13.75
08/06/2023 00:39:46.924,15.00
08/06/2023 00:39:47.940,15.00
08/06/2023 00:40:02.156,16.25
08/06/2023 00:40:03.166,15.62
08/06/2023 00:40:05.196,15.00
08/06/2023 00:40:06.221,15.00
08/06/2023 00:40:46.840,13.75
08/06/2023 00:40:47.848,15.62
08/06/2023 00:40:48.870,15.62
08/06/2023 00:40:51.922,14.37
08/06/2023 00:40:52.940,15.00
08/06/2023 00:40:54.972,15.62
08/06/2023 00:40:55.981,15.62
08/06/2023 00:41:07.190,14.37
08/06/2023 00:41:08.203,15.00
08/06/2023 00:41:20.445,15.62
08/06/2023 00:41:21.454,15.62
08/06/2023 00:41:43.803,13.75
08/06/2023 00:41:44.829,15.00
08/06/2023 00:41:45.852,15.62
08/06/2023 00:41:53.944,16.25
08/06/2023 00:41:54.953,16.25
08/06/2023 00:41:57.994,15.00
08/06/2023 00:41:59.006,15.62
08/06/2023 00:42:04.069,13.75
08/06/2023 00:42:05.091,13.75
08/06/2023 00:42:06.105,15.00
08/06/2023 00:42:07.126,15.00
08/06/2023 00:42:16.259,13.75
08/06/2023 00:42:17.268,13.75
08/06/2023 00:42:18.297,15.00
