'EPIC GC IG.PG.MV Log File

'Date,GC IG.PG.MV
08/06/2023 14:52:53.889,4.65E-06
08/06/2023 14:52:54.897,4.76E-06
08/06/2023 14:52:55.909,4.76E-06
08/06/2023 14:52:56.910,4.65E-06
08/06/2023 14:52:58.923,4.65E-06
08/06/2023 14:52:59.933,4.54E-06
08/06/2023 14:53:00.935,4.65E-06
08/06/2023 14:53:01.937,4.65E-06
08/06/2023 14:53:02.942,4.54E-06
08/06/2023 14:53:03.944,4.54E-06
08/06/2023 14:53:04.968,4.43E-06
08/06/2023 14:53:05.982,4.54E-06
08/06/2023 14:53:06.995,4.54E-06
08/06/2023 14:53:08.023,4.32E-06
08/06/2023 14:53:09.029,4.32E-06
08/06/2023 14:53:11.032,4.43E-06
08/06/2023 14:53:12.044,4.32E-06
08/06/2023 14:53:13.065,4.32E-06
08/06/2023 14:53:14.076,4.22E-06
08/06/2023 14:53:15.078,4.32E-06
08/06/2023 14:53:16.091,4.22E-06
08/06/2023 14:53:17.096,4.22E-06
08/06/2023 14:53:18.112,4.22E-06
08/06/2023 14:53:19.121,4.32E-06
08/06/2023 14:53:20.142,4.22E-06
08/06/2023 14:53:21.157,4.32E-06
08/06/2023 14:53:22.162,4.32E-06
08/06/2023 14:53:23.177,4.22E-06
08/06/2023 14:53:24.200,4.22E-06
08/06/2023 14:53:25.203,4.22E-06
08/06/2023 14:53:26.213,4.22E-06
08/06/2023 14:53:28.216,4.22E-06
08/06/2023 14:53:29.220,4.22E-06
08/06/2023 14:53:30.237,4.22E-06
08/06/2023 14:53:31.252,4.22E-06
08/06/2023 14:53:32.261,4.22E-06
08/06/2023 14:53:33.263,4.22E-06
08/06/2023 14:53:34.282,4.22E-06
08/06/2023 14:53:35.295,4.32E-06
08/06/2023 14:53:36.299,4.22E-06
08/06/2023 14:53:37.311,4.22E-06
08/06/2023 14:53:38.321,4.32E-06
08/06/2023 14:53:40.331,4.22E-06
08/06/2023 14:53:41.334,4.32E-06
08/06/2023 14:53:42.360,4.43E-06
08/06/2023 14:53:43.374,4.32E-06
08/06/2023 14:53:45.376,4.32E-06
08/06/2023 14:53:46.387,4.32E-06
08/06/2023 14:53:47.403,4.43E-06
08/06/2023 14:53:48.415,4.32E-06
08/06/2023 14:53:49.434,4.32E-06
08/06/2023 14:53:50.442,4.22E-06
08/06/2023 14:53:52.443,4.12E-06
08/06/2023 14:53:53.456,4.22E-06
08/06/2023 14:53:54.467,4.22E-06
08/06/2023 14:53:55.479,4.22E-06
08/06/2023 14:53:56.489,4.22E-06
08/06/2023 14:53:57.503,4.12E-06
08/06/2023 14:53:58.515,4.22E-06
