'EPIC Sub.PG.V Log File

'Date,Sub.PG.V
08/06/2023 23:14:41.970,7.239
08/06/2023 23:14:43.969,7.235
08/06/2023 23:14:44.971,7.268
08/06/2023 23:14:46.972,7.267
08/06/2023 23:14:47.991,7.244
08/06/2023 23:14:49.014,7.231
08/06/2023 23:14:50.031,7.238
08/06/2023 23:14:52.031,7.236
08/06/2023 23:14:54.031,7.227
08/06/2023 23:14:56.030,7.252
08/06/2023 23:14:58.031,7.242
08/06/2023 23:15:00.031,7.250
08/06/2023 23:15:02.029,7.230
08/06/2023 23:15:04.030,7.245
08/06/2023 23:15:06.030,7.241
08/06/2023 23:15:07.032,7.232
08/06/2023 23:15:08.052,7.255
08/06/2023 23:15:09.071,7.239
08/06/2023 23:15:11.071,7.240
08/06/2023 23:15:13.070,7.261
08/06/2023 23:15:14.074,7.257
08/06/2023 23:15:15.092,7.237
08/06/2023 23:15:16.111,7.249
08/06/2023 23:15:18.111,7.257
08/06/2023 23:15:20.111,7.235
08/06/2023 23:15:22.110,7.258
08/06/2023 23:15:24.111,7.247
08/06/2023 23:15:26.111,7.250
08/06/2023 23:15:28.110,7.249
08/06/2023 23:15:30.110,7.225
08/06/2023 23:15:32.118,7.240
08/06/2023 23:15:33.131,7.236
08/06/2023 23:15:35.131,7.255
08/06/2023 23:15:37.131,7.252
08/06/2023 23:15:39.132,7.253
08/06/2023 23:15:40.150,7.245
08/06/2023 23:15:41.156,7.278
08/06/2023 23:15:42.170,7.232
08/06/2023 23:15:44.172,7.246
08/06/2023 23:15:46.171,7.262
08/06/2023 23:15:47.173,7.250
08/06/2023 23:15:48.191,7.207
08/06/2023 23:15:50.190,7.239
08/06/2023 23:15:51.192,7.255
08/06/2023 23:15:52.212,7.260
08/06/2023 23:15:53.240,7.258
08/06/2023 23:15:54.250,7.218
08/06/2023 23:15:56.251,7.256
08/06/2023 23:15:57.260,7.261
08/06/2023 23:15:58.273,7.243
08/06/2023 23:15:59.291,7.233
08/06/2023 23:16:01.291,7.234
08/06/2023 23:16:03.290,7.228
08/06/2023 23:16:04.299,7.244
08/06/2023 23:16:05.310,7.239
08/06/2023 23:16:07.310,7.245
08/06/2023 23:16:08.312,7.256
08/06/2023 23:16:10.310,7.228
08/06/2023 23:16:12.310,7.250
08/06/2023 23:16:14.312,7.240
08/06/2023 23:16:15.330,7.242
08/06/2023 23:16:16.333,7.227
08/06/2023 23:16:17.352,7.259
08/06/2023 23:16:18.373,7.236
08/06/2023 23:16:19.392,7.250
08/06/2023 23:16:20.412,7.231
08/06/2023 23:16:21.432,7.217
08/06/2023 23:16:22.453,7.238
08/06/2023 23:16:23.473,7.256
08/06/2023 23:16:24.493,7.249
08/06/2023 23:16:25.513,7.245
08/06/2023 23:16:26.535,7.237
08/06/2023 23:16:27.552,7.243
08/06/2023 23:16:28.581,7.241
08/06/2023 23:16:29.594,7.218
08/06/2023 23:16:30.615,7.242
08/06/2023 23:16:31.632,7.237
08/06/2023 23:16:32.653,7.276
08/06/2023 23:16:33.672,7.239
08/06/2023 23:16:34.693,7.233
08/06/2023 23:16:35.716,7.252
08/06/2023 23:16:36.731,7.222
08/06/2023 23:16:37.752,7.228
08/06/2023 23:16:38.772,7.241
08/06/2023 23:16:39.791,7.238
08/06/2023 23:16:40.811,7.227
08/06/2023 23:16:41.831,7.240
08/06/2023 23:16:42.851,7.244
08/06/2023 23:16:43.872,7.245
08/06/2023 23:16:44.893,7.246
08/06/2023 23:16:45.910,7.212
08/06/2023 23:16:47.910,7.244
08/06/2023 23:16:49.909,7.237
08/06/2023 23:16:51.909,7.237
08/06/2023 23:16:52.913,7.236
08/06/2023 23:16:53.931,7.235
08/06/2023 23:16:54.953,7.244
08/06/2023 23:16:55.973,7.277
08/06/2023 23:16:56.991,7.248
08/06/2023 23:16:58.013,7.243
08/06/2023 23:16:59.034,7.239
08/06/2023 23:17:00.051,7.224
08/06/2023 23:17:01.072,7.248
08/06/2023 23:17:02.093,7.245
08/06/2023 23:17:03.112,7.225
08/06/2023 23:17:04.133,7.258
08/06/2023 23:17:05.156,7.233
08/06/2023 23:17:06.172,7.249
08/06/2023 23:17:07.192,7.246
08/06/2023 23:17:08.212,7.249
08/06/2023 23:17:09.233,7.254
08/06/2023 23:17:10.253,7.275
08/06/2023 23:17:11.272,7.247
08/06/2023 23:17:12.292,7.245
08/06/2023 23:17:13.313,7.246
08/06/2023 23:17:14.331,7.193
08/06/2023 23:17:15.354,7.225
08/06/2023 23:17:16.379,7.228
08/06/2023 23:17:17.400,7.238
08/06/2023 23:17:18.414,7.247
08/06/2023 23:17:19.431,7.248
08/06/2023 23:17:20.451,7.249
08/06/2023 23:17:21.473,7.241
08/06/2023 23:17:22.492,7.230
08/06/2023 23:17:23.513,7.254
08/06/2023 23:17:24.531,7.243
08/06/2023 23:17:25.553,7.264
08/06/2023 23:17:26.572,7.252
08/06/2023 23:17:27.592,7.225
08/06/2023 23:17:28.613,7.223
08/06/2023 23:17:29.632,7.246
08/06/2023 23:17:30.663,7.262
08/06/2023 23:17:31.674,7.252
08/06/2023 23:17:32.691,7.261
08/06/2023 23:17:33.713,7.260
08/06/2023 23:17:34.732,7.240
08/06/2023 23:17:35.752,7.234
08/06/2023 23:17:36.771,7.229
08/06/2023 23:17:37.793,7.251
08/06/2023 23:17:38.813,7.257
08/06/2023 23:17:39.831,7.237
08/06/2023 23:17:40.854,7.249
08/06/2023 23:17:41.874,7.229
08/06/2023 23:17:42.892,7.230
08/06/2023 23:17:43.910,7.269
08/06/2023 23:17:45.911,7.241
08/06/2023 23:17:46.940,7.251
08/06/2023 23:17:47.952,7.236
08/06/2023 23:17:48.973,7.245
08/06/2023 23:17:49.994,7.242
08/06/2023 23:17:51.014,7.246
08/06/2023 23:17:52.032,7.269
08/06/2023 23:17:53.052,7.249
08/06/2023 23:17:54.076,7.231
08/06/2023 23:17:55.095,7.230
08/06/2023 23:17:56.114,7.243
08/06/2023 23:17:57.132,7.279
08/06/2023 23:17:58.152,7.235
08/06/2023 23:17:59.172,7.243
08/06/2023 23:18:00.192,7.234
08/06/2023 23:18:01.212,7.247
08/06/2023 23:18:02.241,7.246
08/06/2023 23:18:03.255,7.294
08/06/2023 23:18:04.272,7.238
08/06/2023 23:18:05.293,7.246
08/06/2023 23:18:06.313,7.238
08/06/2023 23:18:07.332,7.262
08/06/2023 23:18:08.352,7.277
08/06/2023 23:18:09.372,7.256
08/06/2023 23:18:10.394,7.238
08/06/2023 23:18:11.413,7.272
08/06/2023 23:18:12.433,7.243
08/06/2023 23:18:13.454,7.259
08/06/2023 23:18:14.475,7.238
08/06/2023 23:18:15.493,7.254
08/06/2023 23:18:16.512,7.259
08/06/2023 23:18:17.532,7.242
08/06/2023 23:18:18.553,7.242
08/06/2023 23:18:19.572,7.247
08/06/2023 23:18:20.591,7.264
08/06/2023 23:18:21.617,7.227
08/06/2023 23:18:22.634,7.247
08/06/2023 23:18:23.652,7.257
08/06/2023 23:18:24.673,7.252
08/06/2023 23:18:25.691,7.228
08/06/2023 23:18:26.713,7.230
08/06/2023 23:18:27.732,7.234
08/06/2023 23:18:28.752,7.261
08/06/2023 23:18:29.773,7.277
08/06/2023 23:18:30.797,7.242
08/06/2023 23:18:31.814,7.264
08/06/2023 23:18:32.832,7.251
08/06/2023 23:18:33.853,7.246
08/06/2023 23:18:34.873,7.259
08/06/2023 23:18:35.891,7.238
08/06/2023 23:18:36.910,7.238
08/06/2023 23:18:38.909,7.239
08/06/2023 23:18:40.910,7.235
08/06/2023 23:18:42.910,7.300
08/06/2023 23:18:44.913,7.270
08/06/2023 23:18:45.931,7.236
08/06/2023 23:18:46.952,7.252
08/06/2023 23:18:47.972,7.229
08/06/2023 23:18:48.992,7.224
08/06/2023 23:18:50.011,7.257
08/06/2023 23:18:51.031,7.268
08/06/2023 23:18:52.051,7.260
08/06/2023 23:18:53.073,7.267
08/06/2023 23:18:54.092,7.257
08/06/2023 23:18:55.115,7.252
08/06/2023 23:18:56.135,7.276
08/06/2023 23:18:57.152,7.234
08/06/2023 23:18:58.171,7.234
08/06/2023 23:18:59.191,7.259
08/06/2023 23:19:00.211,7.223
08/06/2023 23:19:01.240,7.234
08/06/2023 23:19:02.255,7.263
08/06/2023 23:19:03.274,7.267
08/06/2023 23:19:04.291,7.251
08/06/2023 23:19:05.311,7.244
08/06/2023 23:19:06.332,7.242
08/06/2023 23:19:07.352,7.247
08/06/2023 23:19:08.373,7.236
08/06/2023 23:19:09.393,7.242
08/06/2023 23:19:10.418,7.263
08/06/2023 23:19:11.437,7.263
08/06/2023 23:19:12.453,7.238
08/06/2023 23:19:13.473,7.251
08/06/2023 23:19:14.491,7.257
08/06/2023 23:19:15.512,7.232
08/06/2023 23:19:16.532,7.232
08/06/2023 23:19:17.553,7.234
08/06/2023 23:19:18.573,7.237
08/06/2023 23:19:19.592,7.238
